time,S_mixed_0Ua,S_mixed_0.125Ua,S_mixed_0.25Ua,S_mixed_0.375Ua,S_mixed_0.5Ua,S_mixed_0.625Ua,S_mixed_0.75Ua,S_mixed_0.875Ua,S_mixed_1.0Ua
12.24,0.451897562,0.457267013,0.482825732,0.506696561,0.570078273,0.594926418,0.678065139,0.841771177,0.955084697
12.3,0.450204739,0.460759363,0.48270394,0.508218266,0.569250531,0.593476988,0.678609262,0.842266443,0.955035856
12.36,0.451981432,0.46188777,0.48272029,0.507970657,0.57060038,0.595638992,0.679801485,0.84376754,0.956137288
12.42,0.452743356,0.46278267,0.483578967,0.509473083,0.57063844,0.596211635,0.680389746,0.844793141,0.957023414
12.48,0.450335661,0.462627985,0.479837029,0.510192524,0.570881866,0.596030242,0.680873914,0.845573374,0.957049091
12.54,0.452390326,0.460878528,0.483894638,0.509967241,0.57141928,0.596928657,0.680834159,0.845907362,0.958962251
12.6,0.45270836,0.463243899,0.483885724,0.510310181,0.572101505,0.597499927,0.682092495,0.847430049,0.958709731
12.66,0.453395077,0.461578127,0.484697229,0.51019751,0.572592387,0.598387918,0.683135037,0.848304623,0.959886772
12.72,0.454466696,0.462012311,0.484554855,0.509918257,0.573114601,0.599611558,0.682820655,0.84919768,0.959611205
12.78,0.454000925,0.463337312,0.482931016,0.511032551,0.570684931,0.595257474,0.684395031,0.850805227,0.959361463
12.84,0.450800707,0.462734157,0.481775406,0.511122442,0.57292067,0.599694634,0.683672558,0.851237678,0.959253686
12.9,0.453953548,0.461470951,0.484960464,0.512234336,0.57382607,0.599867239,0.685645405,0.852544171,0.96025216
12.96,0.452839839,0.464351224,0.485286852,0.512178589,0.571793772,0.600032238,0.686034599,0.853081031,0.961193766
13.02,0.453311592,0.461964053,0.485539462,0.51054829,0.574346558,0.600635456,0.684043856,0.853710932,0.961012606
13.08,0.455732787,0.463828781,0.485414045,0.511561258,0.572332105,0.59699584,0.686631341,0.855149223,0.961201027
13.14,0.453656186,0.465722702,0.48499487,0.512591222,0.573931233,0.600698996,0.687564677,0.855435361,0.96184071
13.2,0.455083156,0.464244971,0.483808801,0.512610688,0.575240746,0.601948979,0.688327976,0.85693051,0.96291025
13.26,0.456226789,0.465744891,0.485252771,0.511348415,0.574931198,0.601653242,0.689326463,0.85823689,0.963089696
13.32,0.454022951,0.466102669,0.486151655,0.511932963,0.575413528,0.602686652,0.687838488,0.857945012,0.962894
13.38,0.453985801,0.463551073,0.486546403,0.512679982,0.575316404,0.60235471,0.690243552,0.859191236,0.962705593
13.44,0.455095899,0.466367341,0.486802176,0.513861228,0.576239933,0.603079881,0.691224624,0.859396345,0.963492492
13.5,0.451516517,0.466401996,0.482811311,0.513739419,0.577115607,0.602870749,0.691582929,0.858926049,0.96376932
13.56,0.455613461,0.465147698,0.485863717,0.514545489,0.575722066,0.602975967,0.692104709,0.860731282,0.964272772
13.62,0.454620681,0.467906488,0.486790465,0.514567,0.576633839,0.603634175,0.692289575,0.861116117,0.964563621
13.68,0.457568753,0.467835495,0.486524365,0.515060213,0.577357984,0.604092809,0.693680738,0.862794766,0.964330739
13.74,0.458636664,0.467814868,0.488208447,0.514317569,0.575637228,0.604263902,0.694303164,0.863311263,0.964615734
13.8,0.45827885,0.469054549,0.485190056,0.51496558,0.57798092,0.604952008,0.692878517,0.862003052,0.96369858
13.86,0.457418883,0.46938399,0.486097464,0.515650196,0.578259258,0.605275675,0.695924755,0.863620671,0.964436331
