time,S_mixed_0Hz,S_mixed_1Hz_Pi,S_mixed_2Hz_Pi,S_mixed_4Hz_Pi,S_mixed_8Hz_Pi,S_mixed_12Hz_Pi,S_mixed_16Hz_Pi,S_mixed_20Hz_Pi,S_mixed_30Hz_Pi,S_mixed_1Hz_0,S_mixed_2Hz_0,S_mixed_4Hz_0,S_mixed_8Hz_0,S_mixed_12Hz_0,S_mixed_16Hz_0,S_mixed_20Hz_0,S_mixed_30Hz_0
5.7,0.410622737,0.706759287,0.805619457,0.889100566,0.826117791,0.775589032,0.638190777,0.568774777,0.480107386,0.645310346,0.721168866,0.759311997,0.653698027,0.847072037,0.620549625,0.542674442,0.473159542
5.76,0.411810697,0.709354732,0.807032174,0.890528645,0.827363945,0.777710034,0.637688011,0.573809331,0.481892733,0.646623513,0.726507362,0.764413274,0.655963201,0.849086052,0.623476174,0.543037339,0.474791789
5.82,0.41444843,0.714762832,0.809495733,0.892054612,0.829268342,0.779566606,0.639412091,0.578366848,0.479753562,0.647615116,0.735667197,0.771512189,0.650032215,0.851024561,0.618691932,0.54891448,0.470561955
5.88,0.413176216,0.719287171,0.812458877,0.894958196,0.831092758,0.781580989,0.643157973,0.579418009,0.480229324,0.64765318,0.747207056,0.773217631,0.652225835,0.852950622,0.624898536,0.549947729,0.476057421
5.94,0.413081897,0.722777847,0.815359548,0.898283687,0.834057418,0.782266397,0.644888772,0.580194847,0.48566792,0.648788162,0.748623333,0.775177406,0.662476453,0.854152783,0.625782321,0.553385293,0.480089442
6,0.416162583,0.726617151,0.817891396,0.900306579,0.835641185,0.785413369,0.645304269,0.579034735,0.485916644,0.647134043,0.749611838,0.781938213,0.663430419,0.855775746,0.630782445,0.552767714,0.47954711
6.06,0.411799107,0.72985501,0.823330695,0.901326859,0.837401749,0.789007499,0.647939292,0.580779883,0.485732059,0.647849954,0.749042692,0.785254477,0.65693598,0.856947587,0.632947529,0.553784873,0.48211122
6.12,0.413988179,0.730570843,0.82583749,0.902499067,0.839666757,0.791497914,0.649765244,0.582472911,0.487919829,0.648569047,0.743730715,0.788230792,0.65826598,0.857312377,0.624772074,0.558870346,0.4836441
6.18,0.416649998,0.72990132,0.830477163,0.904217169,0.842015133,0.793417754,0.652219204,0.584194568,0.485610812,0.642659304,0.740642674,0.790900496,0.662236539,0.857454803,0.626100401,0.55209682,0.482823318
6.24,0.415057271,0.731368145,0.832390714,0.904970218,0.843726234,0.794435968,0.653135122,0.584466716,0.487326704,0.641865538,0.745908435,0.79330897,0.674005607,0.860356253,0.630295068,0.553992223,0.483420515
6.3,0.418088874,0.734879326,0.835683129,0.906778111,0.844721324,0.796172096,0.653823586,0.586294366,0.49086971,0.645458812,0.750540005,0.800644353,0.666627056,0.862263041,0.635639593,0.553040167,0.482598896
6.36,0.420662628,0.737500353,0.838079396,0.90849857,0.846056005,0.797150482,0.655847197,0.587059771,0.487950853,0.643050875,0.762292069,0.801331732,0.666577016,0.862038522,0.640259195,0.556128137,0.481717167
6.42,0.417656263,0.740815606,0.841781436,0.910135734,0.848437977,0.799559954,0.656943766,0.587329472,0.491877427,0.651443284,0.763840262,0.803435667,0.673858463,0.864455063,0.642251664,0.56355559,0.487576506
6.48,0.421265934,0.743302751,0.844966296,0.913124201,0.848884161,0.801568367,0.658446307,0.590307178,0.493839721,0.663907179,0.76527554,0.807741453,0.681774272,0.865623631,0.633637989,0.559039366,0.489713371
6.54,0.418983769,0.744725023,0.849010215,0.914053903,0.849988012,0.803945533,0.658606987,0.590538237,0.491135798,0.669040045,0.763551612,0.81503436,0.677763331,0.867118834,0.633644217,0.565295998,0.489637535
