phase_combined,theta_t_combined,theta_t_combined_fit,phase_natural,theta_t_Natural,theta_t_Natural_fit,phase_induced,theta_t_induced,theta_t_induced_fit
-0.295309709,-33.00752,-28.53140292,-0.072209507,-10.350772,-10.305564,3.135309468,6.207073,7.138464
-0.292168117,-33.253833,-28.64546208,-0.067647915,-10.449974,-10.30986,3.16044221,6.848481,7.131572
-0.289026524,-33.432375,-28.75869509,-0.063089464,-10.540363,-10.313941,3.185574951,7.15717,7.120176
-0.285884931,-33.524117,-28.87109072,-0.058527871,-10.807578,-10.317808,3.210707692,7.29671,7.104285
-0.282743339,-33.624064,-28.9826378,-0.053966279,-10.957895,-10.32146,3.235840433,7.439444,7.083907
-0.279601746,-33.744172,-29.09332521,-0.049404686,-11.094215,-10.324897,3.260973174,7.548766,7.059057
-0.276460154,-33.836419,-29.20314188,-0.044843094,-11.199532,-10.328119,3.286105916,7.628306,7.029748
-0.273318561,-33.888356,-29.31207682,-0.040284643,-11.206555,-10.331127,3.311238657,7.631359,6.996001
-0.270176968,-33.845989,-29.42011908,-0.03572305,-10.999273,-10.33392,3.336371398,7.423715,6.957836
-0.267035376,-33.843632,-29.5272578,-0.031161458,-11.087212,-10.336497,3.361504139,7.121308,6.915278
-0.263893783,-33.770223,-29.63348217,-0.026599865,-11.212625,-10.33886,3.386636881,6.920138,6.868353
-0.26075219,-33.637374,-29.73878143,-0.022038272,-11.256586,-10.341007,3.411769622,7.0498,6.817091
-0.257610598,-33.427943,-29.84314491,-0.017479822,-11.21724,-10.342939,3.436902363,6.780444,6.761524
-0.254469005,-33.089189,-29.94656198,-0.012918229,-11.205569,-10.344656,3.462035104,6.035907,6.701687
-0.251327412,-32.669278,-30.04902212,-0.008356636,-11.212728,-10.346158,3.487167845,6.036771,6.637619
-0.24818582,-32.174754,-30.15051482,-0.003795044,-11.257221,-10.347444,3.512300587,6.067256,6.569359
-0.245044227,-31.799879,-30.2510297,0.000766549,-11.338896,-10.348516,3.537433328,4.219579,6.496951
-0.241902634,-29.781139,-30.3505564,0.005325,-11.491535,-10.349371,3.562566069,4.265118,6.420441
-0.238761042,-29.726015,-30.44908466,0.009886592,-11.652415,-10.350012,3.58769881,5.874319,6.339876
-0.235619449,-29.693686,-30.54660428,0.014448185,-11.856149,-10.350437,3.612831552,5.864847,6.255308
-0.232477856,-29.672804,-30.64310515,0.019009777,-11.988152,-10.350647,3.637964293,6.118216,6.16679
-0.229336264,-29.65722,-30.73857721,0.02357137,-12.547469,-10.350641,3.663097034,6.139838,6.074378
-0.226194671,-31.840222,-30.83301049,0.028129821,-13.0485,-10.35042,3.688229775,6.062485,5.97813
-0.223053078,-32.118595,-30.92639509,0.032691413,-13.749341,-10.349984,3.713362517,5.834799,5.878107
-0.219911486,-32.571101,-31.01872119,0.037253006,-14.302239,-10.349332,3.738495258,5.403128,5.774373
-0.216769893,-32.983006,-31.10997905,0.041814598,-14.711131,-10.348465,3.763627999,4.913122,5.666992
-0.2136283,-33.382612,-31.200159,0.046376191,-14.901944,-10.347383,3.78876074,4.460938,5.556033
-0.210486708,-33.579629,-31.28925146,0.050934642,-14.92576,-10.346085,3.813893481,4.211983,5.441565
-0.207345115,-33.752699,-31.37724692,0.055496234,-14.911839,-10.344572,3.839026223,4.235413,5.323662
-0.204203522,-33.886281,-31.46413596,0.060057827,-14.72871,-10.342844,3.864158964,4.378966,5.202396
-0.20106193,-34.026558,-31.54990923,0.064619419,-14.41215,-10.3409,3.889291705,4.523588,5.077846
-0.197920337,-34.177654,-31.63455749,0.069181012,-13.989722,-10.338742,3.914424446,4.679221,4.950089
-0.194778745,-34.339879,-31.71807154,0.073739463,-13.484681,-10.336368,3.939557188,4.857208,4.819206
-0.191637152,-34.467882,-31.8004423,0.078301055,-12.970744,-10.333779,3.964689929,5.03435,4.68528
-0.188495559,-34.495071,-31.88166077,0.082862648,-12.501261,-10.330975,3.98982267,5.1586,4.548396
-0.185353967,-34.481406,-31.96171802,0.08742424,-12.129016,-10.327957,4.014955411,5.351794,4.408639
-0.182212374,-34.516734,-32.04060523,0.091985833,-11.778686,-10.324723,4.040088153,5.220633,4.266099
-0.179070781,-34.653972,-32.11831364,0.096544284,-11.611049,-10.321274,4.065220894,4.93159,4.120865
-0.175929189,-34.831038,-32.1948346,0.101105876,-11.537188,-10.317611,4.090353635,4.498977,3.973029
-0.172787596,-35.035438,-32.27015955,0.105667469,-11.540341,-10.313733,4.115486376,4.04866,3.822683
-0.169646003,-35.225711,-32.34428,0.110229061,-11.75706,-10.309641,4.140619117,3.451362,3.669924
-0.166504411,-35.378593,-32.41718757,0.114790654,-11.955861,-10.305333,4.165751859,2.802243,3.514848
-0.163362818,-35.528113,-32.48887397,0.119349105,-12.148463,-10.300812,4.1908846,2.13717,3.357552
-0.160221225,-35.682883,-32.559331,0.123910697,-12.254778,-10.296076,4.216017341,1.622085,3.198136
-0.157079633,-35.849908,-32.62855054,0.12847229,-12.285435,-10.291126,4.241150082,0.888437,3.036701
-0.15393804,-35.999614,-32.69652458,0.133033883,-12.335188,-10.285962,4.266282824,0.431579,2.873347
-0.150796447,-36.058669,-32.76324521,0.137595475,-12.449929,-10.280584,4.291415565,0.016421,2.70818
-0.147654855,-36.117137,-32.82870459,0.142153926,-12.505114,-10.274991,4.316548306,-0.196813,2.541302
-0.144513262,-36.066408,-32.89289499,0.146715519,-12.488922,-10.269185,4.341681047,1.835942,2.37282
-0.141371669,-36.042443,-32.9558088,0.151277111,-12.427459,-10.263166,4.366813788,-0.990878,2.20284
-0.138230077,-35.974497,-33.01743846,0.155838704,-12.220736,-10.256933,4.39194653,-1.015626,2.031468
-0.135088484,-35.939362,-33.07777656,0.160400296,-11.946595,-10.250486,4.417079271,-1.260702,1.858814
-0.131946891,-35.904895,-33.13681574,0.164958747,-11.696096,-10.243826,4.442212012,-1.376951,1.684985
-0.128805299,-35.805587,-33.19454877,0.16952034,-11.416077,-10.236953,4.467344753,-1.481377,1.510093
-0.125663706,-35.640779,-33.25096851,0.174081932,-11.337451,-10.229867,4.492477495,-1.550127,1.334248
-0.122522113,-35.515398,-33.30606793,0.178643525,-11.257308,-10.222568,4.517610236,-1.593836,1.157559
-0.119380521,-31.200341,-33.35984009,0.183205117,-11.146764,-10.215057,4.542742977,-1.610984,0.98014
-0.116238928,-31.002651,-33.41227816,0.187763568,-10.981569,-10.207332,4.567875718,-1.606015,0.802102
-0.113097336,-34.758563,-33.46337541,0.192325161,-10.537228,-10.199396,4.59300846,-1.607719,0.623558
-0.109955743,-34.538924,-33.51312521,0.196886753,-10.532441,-10.191247,4.618141201,-1.650687,0.444619
-0.10681415,-34.508423,-33.56152103,0.201448346,-10.607445,-10.182886,4.643273942,-1.719388,0.2654
-0.103672558,-34.616013,-33.60855647,0.206009938,-10.738455,-10.174314,4.668406683,-1.857487,0.086013
-0.100530965,-34.795371,-33.65422521,0.210568389,-10.979895,-10.165529,4.693539424,-2.183976,-0.093428
-0.097389372,-35.077306,-33.69852104,0.215129982,-11.201718,-10.156533,4.718672166,-2.516031,-0.27281
-0.09424778,-35.527533,-33.74143785,0.219691574,-11.41432,-10.147326,4.743804907,0.487495,-0.452019
-0.091106187,-35.923941,-33.78296966,0.224253167,-11.667228,-10.137908,4.768937648,-3.079899,-0.630944
-0.087964594,-36.374505,-33.82311059,0.228814759,-11.950623,-10.128278,4.794070389,-3.311063,-0.809469
-0.084823002,-36.661035,-33.86185484,0.23337321,-12.223331,-10.118438,4.819203131,-3.545594,-0.987484
-0.081681409,-36.878929,-33.89919676,0.237934803,-12.471556,-10.108387,4.844335872,-3.701727,-1.164875
-0.078539816,-36.758267,-33.93513077,0.242496395,-12.815232,-10.098126,4.869468613,-3.788831,-1.341531
-0.075398224,-36.346646,-33.96965144,0.247057988,-12.803656,-10.087655,4.894601354,-3.818938,-1.517339
-0.072256631,-35.674992,-34.00275342,0.25161958,-12.735172,-10.076974,4.919734096,-3.833599,-1.69219
