time,theta_t
1.353,0.318466
1.354,-0.097679
1.355,-0.346962
1.356,-0.536614
1.357,-0.642547
1.358,-0.831639
1.359,-0.892149
1.36,-0.993179
1.361,-0.991315
1.362,-0.776727
1.363,-0.697049
1.364,-0.285578
1.365,0.074358
1.366,0.212689
1.367,0.384647
1.368,0.580492
1.369,0.773319
1.37,0.863889
1.371,0.785513
1.372,0.643028
1.373,0.389894
1.374,0.163886
1.375,0.167456
1.376,-0.038568
1.377,-0.157026
1.378,-0.253138
1.379,-0.191555
1.38,-0.066441
1.381,0.191369
1.382,0.493365
1.383,0.830904
1.384,1.139216
1.385,1.45415
1.386,1.62261
1.387,1.608751
1.388,1.676065
1.389,1.657749
1.39,1.701888
1.391,1.553003
1.392,1.348872
1.393,1.304811
1.394,1.212063
1.395,1.028999
1.396,0.888309
1.397,0.710353
1.398,0.628443
1.399,0.713906
1.4,0.742055
1.401,0.842908
1.402,0.884198
1.403,0.996334
1.404,1.131233
1.405,1.369133
1.406,1.602855
1.407,1.926696
1.408,2.281303
1.409,2.634319
1.41,3.00195
1.411,3.259279
1.412,3.572702
1.413,3.774568
1.414,3.876759
1.415,3.9076
1.416,3.786996
1.417,3.521064
1.418,3.083306
1.419,2.56164
1.42,2.00611
1.421,1.434072
1.422,1.137472
1.423,0.767351
1.424,0.415551
1.425,0.242317
1.426,0.133698
1.427,0.181764
1.428,0.340191
1.429,0.503678
1.43,0.674269
1.431,0.840615
1.432,0.913678
1.433,0.947642
1.434,1.104391
1.435,1.235578
1.436,1.377009
1.437,1.328233
1.438,1.230985
1.439,0.962894
1.44,0.934189
1.441,1.217239
1.442,1.354878
1.443,1.423923
1.444,1.429386
1.445,1.320629
1.446,1.087606
1.447,0.790061
1.448,0.463599
1.449,0.199849
1.45,0.025681
1.451,-0.077931
1.452,-0.199323
1.453,-0.367817
1.454,-0.576248
1.455,-0.743651
1.456,-0.772278
1.457,-0.625503
1.458,-0.469275
1.459,-0.338738
1.46,-0.340937
1.461,-0.396516
1.462,-0.361486
1.463,-0.173765
1.464,0.072392
1.465,0.288818
1.466,0.385058
1.467,0.498003
1.468,0.630074
1.469,0.757298
1.47,0.85763
1.471,0.914085
1.472,0.946182
1.473,0.892473
1.474,0.832946
1.475,0.869024
1.476,1.0911
1.477,1.313181
1.478,1.47811
1.479,1.553599
1.48,1.528606
1.481,1.520693
1.482,1.643716
1.483,1.78439
1.484,1.906446
1.485,2.001919
1.486,1.936477
1.487,1.754358
1.488,1.539208
1.489,1.336317
1.49,1.251428
1.491,1.173801
1.492,1.175092
1.493,1.247704
1.494,1.475543
1.495,1.73995
1.496,2.015277
1.497,2.361595
1.498,2.781742
1.499,3.308924
1.5,3.693366
1.501,4.234104
1.502,4.778862
1.503,4.878643
